antecedent,consequent,confidence,lift,support
['consoles_games'],['housewares'],0.14814814814814814,1.0115842714961658,0.0025806451612903226
['consoles_games'],['health_beauty'],0.18518518518518517,1.4001806684733513,0.0032258064516129032
['fixed_telephony'],['housewares'],0.36363636363636365,2.482979575490589,0.0025806451612903226
['computers_accessories'],['bed_bath_table'],0.12179487179487179,0.5302866609046384,0.012258064516129033
['computers_accessories'],['housewares'],0.10256410256410256,0.7003275725742686,0.01032258064516129
['fashion_shoes'],['bed_bath_table'],0.23529411764705882,1.024454725710509,0.0025806451612903226
['kitchen_dining_laundry_garden_furniture'],['bed_bath_table'],0.4166666666666667,1.8141385767790263,0.0032258064516129032
['kitchen_dining_laundry_garden_furniture'],['furniture_decor'],0.3333333333333333,1.5752032520325203,0.0025806451612903226
['home_confort'],['bed_bath_table'],0.5,2.1769662921348316,0.008387096774193548
['home_confort'],['furniture_decor'],0.15384615384615385,0.727016885553471,0.0025806451612903226
['office_furniture'],['bed_bath_table'],0.14285714285714285,0.6219903691813804,0.0032258064516129032
['office_furniture'],['furniture_decor'],0.17142857142857143,0.8101045296167247,0.003870967741935484
['perfumery'],['furniture_decor'],0.13861386138613863,0.6550350156966916,0.00903225806451613
['perfumery'],['sports_leisure'],0.1188118811881188,0.8332959992831862,0.007741935483870968
['perfumery'],['health_beauty'],0.13861386138613863,1.0480560251147066,0.00903225806451613
"['housewares', 'bed_bath_table']",['furniture_decor'],0.10416666666666667,0.49225101626016265,0.0032258064516129032
['construction_tools_construction'],['furniture_decor'],0.16666666666666666,0.7876016260162602,0.0032258064516129032
['construction_tools_construction'],['housewares'],0.2,1.3656387665198237,0.003870967741935484
['health_beauty'],['sports_leisure'],0.12195121951219512,0.8553139830040835,0.016129032258064516
['furniture_living_room'],['bed_bath_table'],0.2916666666666667,1.2698970037453186,0.004516129032258065
['furniture_living_room'],['furniture_decor'],0.16666666666666666,0.7876016260162602,0.0025806451612903226
['home_construction'],['furniture_decor'],0.25,1.1814024390243902,0.005161290322580645
['pet_shop'],['bed_bath_table'],0.20967741935483872,0.9129213483146068,0.008387096774193548
['baby'],['bed_bath_table'],0.21348314606741572,0.9294912258553213,0.012258064516129033
['baby'],['housewares'],0.1348314606741573,0.9206553482156115,0.007741935483870968
['baby'],['toys'],0.10112359550561797,1.2341856144386445,0.005806451612903226
['baby'],['cool_stuff'],0.12359550561797752,2.0165582495564753,0.0070967741935483875
['small_appliances'],['housewares'],0.2631578947368421,1.7968931138418733,0.0032258064516129032
['watches_gifts'],['furniture_decor'],0.10714285714285714,0.5063153310104529,0.00967741935483871
['watches_gifts'],['sports_leisure'],0.10714285714285714,0.7514544279250162,0.00967741935483871
['sports_leisure'],['health_beauty'],0.11312217194570136,0.8553139830040835,0.016129032258064516
['telephony'],['bed_bath_table'],0.10204081632653061,0.44427883512955746,0.0064516129032258064
['telephony'],['computers_accessories'],0.14285714285714285,1.4194139194139193,0.00903225806451613
['food'],['sports_leisure'],0.2777777777777778,1.9482151835093013,0.0032258064516129032
['food'],['perfumery'],0.2222222222222222,3.4103410341034106,0.0025806451612903226
['cool_stuff'],['bed_bath_table'],0.1368421052631579,0.5958013010053224,0.008387096774193548
['cool_stuff'],['furniture_decor'],0.10526315789473684,0.4974326059050064,0.0064516129032258064
['cool_stuff'],['baby'],0.11578947368421053,2.0165582495564753,0.0070967741935483875
"['housewares', 'furniture_decor']",['bed_bath_table'],0.14285714285714285,0.6219903691813804,0.0032258064516129032
['electronics'],['sports_leisure'],0.11940298507462686,0.8374417505234011,0.005161290322580645
['garden_tools'],['furniture_decor'],0.22727272727272727,1.0740022172949002,0.01935483870967742
['housewares'],['bed_bath_table'],0.21145374449339208,0.9206553482156116,0.03096774193548387
['housewares'],['furniture_decor'],0.15418502202643172,0.7286182443322231,0.02258064516129032
['auto'],['bed_bath_table'],0.12222222222222222,0.532147315855181,0.0070967741935483875
['auto'],['garden_tools'],0.1,1.1742424242424243,0.005806451612903226
['toys'],['bed_bath_table'],0.10236220472440945,0.4456781385472883,0.008387096774193548
['musical_instruments'],['toys'],0.3076923076923077,3.7552998182919444,0.0025806451612903226
['furniture_decor'],['bed_bath_table'],0.27439024390243905,1.1946766237325295,0.05806451612903226
['furniture_decor'],['housewares'],0.10670731707317073,0.728618244332223,0.02258064516129032
['construction_tools_lights'],['furniture_decor'],0.5833333333333334,2.756605691056911,0.004516129032258065
['luggage_accessories'],['housewares'],0.11764705882352941,0.8033169214822493,0.0025806451612903226
['luggage_accessories'],['sports_leisure'],0.11764705882352941,0.8251264306627628,0.0025806451612903226
['luggage_accessories'],['health_beauty'],0.11764705882352941,0.8895265423242468,0.0025806451612903226
['bed_bath_table'],['furniture_decor'],0.25280898876404495,1.1946766237325295,0.05806451612903226
['bed_bath_table'],['housewares'],0.1348314606741573,0.9206553482156115,0.03096774193548387
['drinks'],['health_beauty'],0.2222222222222222,1.6802168021680215,0.0025806451612903226
['drinks'],['telephony'],0.2222222222222222,3.5147392290249426,0.0025806451612903226
['stationery'],['housewares'],0.11764705882352941,0.8033169214822493,0.005161290322580645
['stationery'],['health_beauty'],0.16176470588235295,1.2230989956958394,0.0070967741935483875
['stationery'],['toys'],0.10294117647058823,1.2563686892079666,0.004516129032258065
['food_drink'],['sports_leisure'],0.4444444444444444,3.117144293614882,0.0025806451612903226
